_id,BatchFileName,PoliceServiceType,PoliceService,OPP_PoliceService,IncidentNumber,Date,ApproximateTimeForceApplied,LocationType_ResidentialBuilding,LocationType_NonResidentialBuilding,LocationType_MotorVehicle,LocationType_OpenSpace,LocationType_PublicTransportation,ReportType,TypeTeam,NumberTeam,Attire,AssignmentType,IncidentType,HumaneDestructionAnimal_Distance,HumaneDestructionAnimal_Handgun,HumaneDestructionAnimal_Rifle,HumaneDestructionAnimal_Shotgun,HumaneDestructionAnimal_NumberRoundsDischarged,InteractionType,NumberIndividuals,NumberOtherOfficers,OfficerInvolvedInjuries_PhysicalInjuries,OfficerInvolvedInjuries_Treatment_No,OfficerInvolvedInjuries_Treatment_FirstAid,OfficerInvolvedInjuries_Treatment_MedicalPersonnelScene,OfficerInvolvedInjuries_Treatment_AdmissionMedicalFacility,OfficerInvolvedInjuries_Treatment_MedicalFacility,OfficerInvolvedInjuries_Treatment_Unknown,OfficerInvolvedInjuries_Treatment_Other,NoInteractIndiv_ReasonUseOfForce_EffectArrest,NoInteractIndiv_ReasonUseOfForce_PreventOffence,NoInteractIndiv_ReasonUseOfForce_PreventEscape,NoInteractIndiv_ReasonUseOfForce_ProtectOtherOfficers,NoInteractIndiv_ReasonUseOfForce_ProtectPublic,NoInteractIndiv_ReasonUseOfForce_ProtectSelf,NoInteractIndiv_ReasonUseOfForce_ProtectIndiv,NoInteractIndiv_ReasonUseOfForce_Unintentional,NoInteractIndiv_ReasonUseOfForce_Other,NoInteractIndiv_TypeForceUsed_CEW_Check,NoInteractIndiv_TypeForceUsed_CEW_Discharged,NoInteractIndiv_TypeForceUsed_Firearm_Handgun_Check,NoInteractIndiv_TypeForceUsed_Firearm_Handgun_Drawn,NoInteractIndiv_TypeForceUsed_Firearm_Handgun_Discharged,NoInteractIndiv_TypeForceUsed_Firearm_Rifle_Check,NoInteractIndiv_TypeForceUsed_Firearm_Rifle_Discharged,NoInteractIndiv_TypeForceUsed_Firearm_ShotgunLethal_Check,NoInteractIndiv_TypeForceUsed_Firearm_ShotgunLethal_Discharged,NoIndivAnimalOnly_ReasonUseOfForce_EffectArrest,NoIndivAnimalOnly_ReasonUseOfForce_PreventOffence,NoIndivAnimalOnly_ReasonUseOfForce_PreventEscape,NoIndivAnimalOnly_ReasonUseOfForce_ProtectOtherOfficers,NoIndivAnimalOnly_ReasonUseOfForce_ProtectPublic,NoIndivAnimalOnly_ReasonUseOfForce_ProtectSelf,NoIndivAnimalOnly_ReasonUseOfForce_ProtectIndiv,NoIndivAnimalOnly_ReasonUseOfForce_Unintentional,NoIndivAnimalOnly_ReasonUseOfForce_Other,NoIndivAnimalOnly_TypeForceUsed_CEW,NoIndivAnimalOnly_TypeForceUsed_Firearm,Inclusion_SOLGEN_ARA_Analysis
1,418729783,Municipal Police,Guelph,,GUE-517995,2023-03-14,04:37:00,1,,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Weapon(s),,,,,,Interaction with Individual(s),2,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
2,243682269,Municipal Police,Waterloo Regional,,WAT-981704,2023-01-02,01:40:00,1,,,,,Individual,,,Uniform,Tactical,Weapon(s),,,,,,Interaction with Individual(s),1,6,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
3,527449862,Municipal Police,Waterloo Regional,,WAT-411772,2023-01-02,23:20:00,,,,1,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Weapon(s),,,,,,Interaction with Individual(s),1,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
4,159503911,Municipal Police,Peel Regional,,PEL-908442,2023-02-28,08:05:00,1,,,,,Team,Other,5,Non-Uniform,"Investigations (CIB, Major Crime)","Executing Warrant (e.g., DNA, arrest, search)",,,,,,Interaction with Individual(s),1,5,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
5,602367907,Municipal Police,Peel Regional,,PEL-863098,2023-02-10,09:18:00,,,,1,,Individual,,,Non-Uniform,Drugs,"Executing Warrant (e.g., DNA, arrest, search)",,,,,,Interaction with Individual(s),1,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
6,931589034,Municipal Police,Peel Regional,,PEL-235776,2023-01-07,19:31:00,1,,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ","Assisting Other Police Service/Agency (e.g., EMS, animal welfare inspectors)",,,,,,Interaction with Individual(s),1,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
7,865654144,Municipal Police,Peel Regional,,PEL-235776,2023-01-07,19:31:00,1,,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ","Assisting Other Police Service/Agency (e.g., EMS, animal welfare inspectors)",,,,,,Interaction with Individual(s),1,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
8,119619030,Municipal Police,Peel Regional,,PEL-898867,2023-01-08,02:45:00,,,,1,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Barricaded Individual/Disturbance/Individual in Crisis/Wellness/Safety Check,,,,,,Interaction with Individual(s),1,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
9,993086464,Municipal Police,Peel Regional,,PEL-377218,2023-01-15,22:10:00,1,,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Barricaded Individual/Disturbance/Individual in Crisis/Wellness/Safety Check,,,,,,Interaction with Individual(s),2,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
10,587879303,Municipal Police,Peel Regional,,PEL-377218,2023-01-15,22:10:00,1,,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Family/Neighbour/Other Type of Dispute,,,,,,Interaction with Individual(s),1,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
