File Name,Variable Name,Variable Label,Variable Definition,Data Values,Requirement Status in the Use of Force Report,Additional Notes,Data Type,Data Format,Measurement Level,Recoded Variable Flag,Recoded Variable Notes
UoF_Main_Records,Id_,Row ID,This variable is auto-generated when the dataset is uploaded to the Ontario Data Catalogue ,,,"This variable cannot be used to link datasets, as the same _id will likely represent different records across different datasets.",Integer,,Nominal,,
UoF_Main_Records,BatchFileName,Batch File Name,Unique identifier for each use of force report submitted,,,"This is an internal autogenerated identifier based on the report submission ID. This is a linking variable between UoF_Main_Records, UoF_Individual_Records, UoF_Weapon_Records, UoF_Probe_Records Tables.",Text,,Nominal,Yes ,
UoF_Main_Records,PoliceServiceType,Police Service Type,Specifies the type of the police service,"Municipal Police
Ontario Provincial Police 
Other Agency",Mandatory,The Other Agency field was not used in the 2023 data as it is out of scope for the Ministry Race-Based Use of Force collection and reporting).,Text,,Nominal,,
UoF_Main_Records,PoliceService,Police Service,The name of the police service where the reporting officer was employed,"Aylmer 
Barrie 
Belleville 
Brantford 
Brockville 
Chatham-Kent 
Cobourg 
Cornwall 
Deep River 
Durham Regional 
Gananoque 
Greater Sudbury 
Guelph 
Halton Regional 
Hamilton 
Hanover 
Kawartha Lake
Kingston 
LaSalle 
London 
Niagara Regional 
North Bay 
Ottawa 
Owen Sound 
Peel Regional 
Peterborough 
Port Hope 
Sarnia 
Saugeen Shores 
Sault Ste. Marie 
Smiths Falls 
South Simcoe 
St. Thomas 
Stratford 
Strathroy-Caradoc 
Thunder Bay 
Timmins 
Toronto 
Waterloo Regional 
West Grey 
Windsor 
Woodstock 
York Regional ",Mandatory - Conditional,"First Nation Police Services were not required to report use of force data, as they were not governed by the Police Services Act (PSA) or the Equipment and Use of Force Regulation (R.R.O. 1990, Reg. 926).

Mandatory IF type = ""Municipal"".",Text,,Nominal,,
UoF_Main_Records,OPP_PoliceService,OPP ,Identifies which OPP region within province submitted the report,"Central Region
East Region
General Headquarters
Highway Safety Division
North East Region
North West Region
West Region",Mandatory - Conditional,"Mandatory IF type = ""Ontario Provincial Police"".
",Text,,Nominal,,
UoF_Main_Records,IncidentNumber,Incident Occurrence Number,Modified Incident/Occurrence number associated with the report,,Mandatory,,Text,,Nominal,Yes,The original Incident/Occurrence Number has been recoded to improve linking of reports applicable to the same incident and reduce the risk of re-identification.
UoF_Main_Records,Date,Date of Incident,The date when  the use of force incident occurred,,,,Date,,Ordinal,Yes ,Correcting values based on additional information from the narrative and other associated reports
UoF_Main_Records,ApproximateTimeForceApplied,Approximate Time Force Applied,Approximate time of day force was applied ,,Mandatory,,Time,00:00-23:59,Ordinal,,
UoF_Main_Records,LocationType_ResidentialBuilding,Location Type - Residential Building,Specifies if the force incident took place in a residential building,"1 
Blank",Mandatory - Conditional,"
One of the 5 selection options indicating the location type where the incident occurred; mandatory to select one of the five options.
Blank = Not selected.",Integer,,Boolean,,
UoF_Main_Records,LocationType_NonResidentialBuilding,Location Type - Non Residential Building,Specifies if the force incident took place in a non residential building,"1 
Blank",Mandatory - Conditional,"
One of the 5 selection options indicating the location type where the incident occurred; mandatory to select one of the five options.
Blank = Not selected.",Integer,,Boolean,,
UoF_Main_Records,LocationType_MotorVehicle,Location Type - Motor Vehicle,Specifies if the force incident took place in a motor vehicle,"1 
Blank",Mandatory - Conditional,"
One of the 5 selection options indicating the location type where the incident occurred; mandatory to select one of the five options.
Blank = Not selected.",Integer,,Boolean,,
UoF_Main_Records,LocationType_OpenSpace,Location Type - Open Space,Specifies if the force incident took place in an open space,"1 
Blank",Mandatory - Conditional,"
One of the 5 selection options indicating the location type where the incident occurred; mandatory to select one of the five options.
Blank = Not selected.",Integer,,Boolean,,
UoF_Main_Records,LocationType_PublicTransportation,Location Type - Public Transportation,Specifies if the force incident took place in public transportation,"1 
Blank",Mandatory - Conditional,"
One of the 5 selection options indicating the location type where the incident occurred; mandatory to select one of the five options.
Blank = Not selected.",Integer,,Boolean,,
UoF_Main_Records,ReportType,Report Type,Specifies if the report is submitted by an individual officer or on behalf of a team,"Individual
Team",Mandatory - Conditional,"Report type = ""Individual"" refers to the use of force report was prepared by an Individual Officer (or an immediate suppervisor in the event an officer is not able to prepare the report) while anywhere else in the data ""Individual"" refers to the Individual to whom the use of force was applied. 
",Text,,Nominal,,
UoF_Main_Records,TypeTeam,Team Type,Type of team involved in the force incident,"Apprehension Squad
Canine Unit
Containment Team
Drug Enforcement Unit
Guns and Gangs Unit
Hostage Rescue Team
Major Crime Unit
Mobile Surveillance Unit
Public Order Unit
Tactical Team
Other",Mandatory - Conditional,"The supervisor of a containment team, tactical unit or hostage rescue team, or an officer designated by the supervisor, may submit a report on behalf of the unit or team members if, during an operational deployment of the unit’s or team’s emergency response functions, and acting under the command of the supervisor, one or more members do any of the following:
a) draws a handgun in the presence of a member of the public;
b) points a firearm at a Individual;
c) draws and displays a conducted energy weapon to a Individual with the intention of achieving compliance.
d) points a conducted energy weapon at a Individual. 

""Other"" may apply to a group of officers who respond jointly to a call and who may not be members of a dedicated or specialized team.

Mandatory IF Report Type = ""Team"".
",Text,,Nominal,,
UoF_Main_Records,NumberTeam,Number Officers in Team,"Number of officers assigned to the team who were involved in the incident, including the reporting officer.",Number between 1 and 99,Mandatory - Conditional,"Mandatory IF Report Type = ""Team"".
",Integer,,Interval/Ratio,,
UoF_Main_Records,Attire,Attire,Type of attire of the reporting officer at the time of the use of force incident,"Non-Uniform
Uniform",Mandatory,,Text,,Nominal,,
UoF_Main_Records,AssignmentType,Assignment Type,Type of assignment the officer is assigned at the time of the force incident,"Administrative (e.g., station duty)
Canine
Containment
Court Appearance
Court Security
Drugs
Guns and Gangs, ROPE, Other Specialized Units
Investigations (CIB, Other Major Crime)
Marine
Team
Off Duty
Paid Duty
Patrol (e.g., general, foot, bicycle, ATV, snowmobile)
Prisoner Transportation/Care/Control
Public Order
Tactical
Targeted Community Response Units/Hostage Rescue
Traffic
Other",Mandatory,"To reduce the risk of re-identification, for privacy considerations, the following assignment types have been grouped into the category ""Targeted Community Response Units/Hostage Rescue"":
- Community Liaison, School Resource
- Community Oriented/Directed Response
- Hostage Rescue
- Mental Health Response Unit/Mobile Crisis Response Team.

ATV = All-Terrain Vehicle.
ROPE = Repeat Offender Parole Enforcement.

",Text,,Nominal,Yes ,Some response options were grouped to ensure protection of privacy. See comments in the Additional Notes section.
UoF_Main_Records,IncidentType,Incident Type,Type of incident the officer responded or was dispatched to,"Active Attacker
Alarm
Animal Complaint
Assisting Other /Agency
(e.g., EMS, animal welfare inspectors
Barricaded Individual/Disturbance/Individual in Crisis/Wellness/Safety Check
Executing Warrant (e.g., DNA, arrest, search)
Family/Neighbour/Other Type of Dispute
Humane Destruction of Animal
Investigation (follow-up, ongoing)
Other Federal/Provincial Statutes (e.g., LLA)
Person Stop
Police Custody Related (e.g. prisoner control, fingerprinting, lock-up area)
Property Crime
Public Order
Stolen Vehicle
Traffic (e.g., RIDE, vehicle collision)
Violent Crime (including Intimate Partner Violence)
Weapon(s)",Mandatory,"Incidents involving Humane Destruction of Animal do not involve members of the public, therefore they are not part of race-based analysis.

To reduce the risk of re-identification, for privacy considerations, incidents involving: 
- Barricaded Individual
- Disturbance (e.g., noise complaint, unknown trouble, unwanted Individual)
- Individual in Crisis (e.g., mental health, suicide threat), and
- Wellness/Safety Check
have been  grouped under the category ""Barricaded Individual/Disturbance/Individual in Crisis/Wellness/Safety Check"" and incidents involving:
- Intimate Partner Violence (IPV)/Dispute, and
- Violent Crime (non-IPV) (e.g., assault, car-jacking, robbery, homicide) 
 have been grouped under the category ""Violent Crime (including Intimate Partner Violence)"".",Text,,Nominal,Yes ,Some response options were grouped to ensure protection of privacy. See comments in the Additional Notes section.
UoF_Main_Records,HumaneDestructionAnimal_Distance,Humane Destruction of Animal Distance,Distance between the officer and the animal when force was used,"Less than 3 metres (approx. 10ft)
3 to 7 Metres (approx. 10 to 23 ft)
Greater than 7 metres (approx. 23 ft)",Mandatory - Conditional,"Mandatory IF Incident Type =""Humane Destruction of Animal"", otherwise Not Applicable.",Text,,Ordinal,,
UoF_Main_Records,HumaneDestructionAnimal_Handgun,Humane Destruction of Animal - Handgun,"Specifies if handgun was used to humanely destroy an animal

","1 
Blank",Mandatory - Conditional,"At least one of 3 multi-select options is mandatory IF Incident Type =""Humane Destruction of Animal"".
Blank = Not selected.",Integer,,Boolean,,
UoF_Main_Records,HumaneDestructionAnimal_Rifle,Humane Destruction of Animal - Rifle,Specifies if rifle was used to humanely destroy an animal,"1 
Blank",Mandatory - Conditional,"At least one of 3 multi-select options is mandatory IF Incident Type =""Humane Destruction of Animal"".
Blank = Not selected.",Integer,,Boolean,,
UoF_Main_Records,HumaneDestructionAnimal_Shotgun,Humane Destruction of Animal - Shotgun,Specifies if shotgun was used to humanely destroy an animal,"1 
Blank",Mandatory - Conditional,"At least one of 3 multi-select options is mandatory IF Incident Type =""Humane Destruction of Animal"".
Blank = Not selected.",Integer,,Boolean,,
UoF_Main_Records,HumaneDestructionAnimal_NumberRoundsDischarged,Humane Destruction of Animal - Number of Rounds Discharged,Refers to the number of rounds discharged from the firearm used by the officer for humane destruction of animal,Number between 1 and 9 ,Mandatory - Conditional,"Mandatory IF Incident Type =""Humane Destruction of Animal"", otherwise Not Applicable.",Integer,,Interval/Ratio,,
UoF_Main_Records,InteractionType,Individual or Animal Interaction,Specifies if the reporting involved interaction with  a Individual or animal,"Interaction with Individuals)
No Interaction with Individual(s)
Interaction with Animal",Mandatory - Conditional,"The variable collected from the Use of Force Report was called ""partA_numberSubjects"" with the options 1,2 and 3 corresponding to the type of interaction with either individual(s) or animal.
1=Interaction with individual(s)
2=No Interaction with individual(s)
3=Interaction with animal only. 

Option 1 (Interaction with individual(s)) may be used in a situation where the officer used reportable force (as per regulation R.R.O. 1990, Reg. 926, Equipment and Use of Force | https://www.ontario.ca/laws/regulation/900926) on one or more individuals.

Option 2 (No Interaction with individual(s)) may be used in a situation where the officer responded to an incident with your handgun drawn in the presence of a member(s) of the public, but the subject fled without your being able to observe, identify or interact with them.

Option 3 (Interaction with animal only) may be used in a situation when the officer used force (e.g., CEW or firearm) to defend themselves against an aggressive animal. This option should not be confused with humane destruction of an animal which can be selected under “Incident Type”.

This variable was renamed to make it easier for the user to understand.
Mandatory IF Incident Type is not equal to ""Humane Destruction of Animal"".",Integer,,Interval/Ratio,,
