_id,BatchFileName,Indiv_Index,ConductedEnergyWeapon_CartridgeProbe_CartridgeProbeCycles_Cyc
1,931589034,1,Single Cycle (5 seconds)
2,865654144,1,Single Cycle (5 seconds)
3,213372872,1,Single Cycle (5 seconds)
4,939537346,1,Single Cycle (5 seconds)
5,418182568,1,Single Cycle (5 seconds)
6,299601154,1,Single Cycle (5 seconds)
7,709049767,1,Single Cycle (5 seconds)
8,120522457,1,Single Cycle (5 seconds)
9,374636783,1,Extended Cycle (more than 5 seconds)
10,782319505,1,Single Cycle (5 seconds)
11,607847322,1,Single Cycle (5 seconds)
12,390849972,1,Extended Cycle (more than 5 seconds)
13,975069934,1,Single Cycle (5 seconds)
14,819649184,1,Single Cycle (5 seconds)
15,951473173,1,Single Cycle (5 seconds)
16,975141418,1,Single Cycle (5 seconds)
17,975141418,1,Extended Cycle (more than 5 seconds)
18,353609312,1,Multiple Cycles
19,735347592,1,Single Cycle (5 seconds)
20,440897985,1,Single Cycle (5 seconds)
21,564233641,1,Multiple Cycles
22,431709940,1,Single Cycle (5 seconds)
23,531374050,1,Single Cycle (5 seconds)
24,362713843,1,Single Cycle (5 seconds)
25,671111674,1,Single Cycle (5 seconds)
26,635753470,1,Single Cycle (5 seconds)
27,840677078,1,Single Cycle (5 seconds)
28,639552540,1,Single Cycle (5 seconds)
29,371453600,1,Single Cycle (5 seconds)
30,192114302,1,Single Cycle (5 seconds)
31,669542330,1,Single Cycle (5 seconds)
32,198724058,1,Single Cycle (5 seconds)
33,985646253,2,Single Cycle (5 seconds)
34,969854684,1,Multiple Cycles
35,621261841,1,Extended Cycle (more than 5 seconds)
36,635698103,1,Extended Cycle (more than 5 seconds)
37,162723180,1,Single Cycle (5 seconds)
38,475111630,1,Extended Cycle (more than 5 seconds)
39,434126130,1,Single Cycle (5 seconds)
40,550087882,1,Single Cycle (5 seconds)
41,781334850,1,Single Cycle (5 seconds)
42,936933115,1,Single Cycle (5 seconds)
43,453824963,1,Extended Cycle (more than 5 seconds)
44,659206263,1,Multiple Cycles
45,873643800,1,Single Cycle (5 seconds)
46,738828244,1,Single Cycle (5 seconds)
47,435785379,1,Multiple Cycles
48,529616637,1,Multiple Cycles
49,532369427,1,Single Cycle (5 seconds)
50,611218655,1,Single Cycle (5 seconds)
51,237890821,1,Single Cycle (5 seconds)
52,955651626,1,Single Cycle (5 seconds)
53,724915324,1,Single Cycle (5 seconds)
54,891565886,1,Single Cycle (5 seconds)
55,165701522,1,Single Cycle (5 seconds)
56,808397494,1,Single Cycle (5 seconds)
57,722508247,1,Single Cycle (5 seconds)
58,548379103,1,Single Cycle (5 seconds)
59,263335255,1,Single Cycle (5 seconds)
60,189356180,1,Single Cycle (5 seconds)
61,735991810,1,Single Cycle (5 seconds)
62,912310041,1,Single Cycle (5 seconds)
63,823934920,1,Single Cycle (5 seconds)
64,541958361,1,Single Cycle (5 seconds)
65,470439237,1,Single Cycle (5 seconds)
66,234956736,1,Single Cycle (5 seconds)
67,272741423,1,Single Cycle (5 seconds)
68,809419242,1,Single Cycle (5 seconds)
69,175962468,1,Single Cycle (5 seconds)
70,471554721,1,Single Cycle (5 seconds)
71,750720082,1,Multiple Cycles
72,479264133,1,Multiple Cycles
73,213561889,1,Single Cycle (5 seconds)
74,897846409,1,Single Cycle (5 seconds)
75,616515906,1,Multiple Cycles
76,787289866,1,Multiple Cycles
77,420435394,1,Multiple Cycles
78,867448856,1,Single Cycle (5 seconds)
79,375016420,1,Single Cycle (5 seconds)
80,113275399,1,Single Cycle (5 seconds)
81,643452295,1,Extended Cycle (more than 5 seconds)
82,847848064,1,Extended Cycle (more than 5 seconds)
83,303718248,1,Single Cycle (5 seconds)
84,743999778,1,Single Cycle (5 seconds)
85,550820591,1,Single Cycle (5 seconds)
86,182718912,1,Single Cycle (5 seconds)
87,245483301,1,Multiple Cycles
88,711856077,1,Multiple Cycles
89,567077414,1,Single Cycle (5 seconds)
90,411039497,1,Single Cycle (5 seconds)
91,507135555,1,Single Cycle (5 seconds)
92,492778388,1,Single Cycle (5 seconds)
93,706726796,1,Single Cycle (5 seconds)
94,444863581,1,Single Cycle (5 seconds)
95,878279077,1,Multiple Cycles
96,953461663,1,Single Cycle (5 seconds)
97,765613984,1,Single Cycle (5 seconds)
98,936259609,1,Single Cycle (5 seconds)
99,270728590,1,Single Cycle (5 seconds)
100,781870651,1,Single Cycle (5 seconds)
101,933522788,1,Multiple Cycles
102,348989793,1,Multiple Cycles
103,688630656,1,Single Cycle (5 seconds)
104,901056896,1,Single Cycle (5 seconds)
105,801661506,1,Single Cycle (5 seconds)
106,523389565,1,Single Cycle (5 seconds)
107,747865229,1,Single Cycle (5 seconds)
108,579566151,1,Single Cycle (5 seconds)
109,703880414,1,Single Cycle (5 seconds)
110,629058967,1,Single Cycle (5 seconds)
111,508359587,1,Single Cycle (5 seconds)
112,483960113,1,Single Cycle (5 seconds)
113,828503764,1,Single Cycle (5 seconds)
114,133230323,1,Extended Cycle (more than 5 seconds)
115,894055612,1,Single Cycle (5 seconds)
116,375119151,1,Single Cycle (5 seconds)
117,157027848,1,Single Cycle (5 seconds)
118,276452255,1,Single Cycle (5 seconds)
119,962122294,1,Multiple Cycles
120,371339273,1,Single Cycle (5 seconds)
121,574555539,1,Single Cycle (5 seconds)
122,373829134,1,Single Cycle (5 seconds)
123,386255174,1,Multiple Cycles
124,697763301,1,Multiple Cycles
125,453511131,1,Extended Cycle (more than 5 seconds)
126,395158791,1,Single Cycle (5 seconds)
127,504616828,1,Single Cycle (5 seconds)
128,427799735,1,Single Cycle (5 seconds)
129,430412421,1,Single Cycle (5 seconds)
130,629538512,1,Extended Cycle (more than 5 seconds)
131,538939996,1,Single Cycle (5 seconds)
132,745207585,1,Single Cycle (5 seconds)
133,806176426,1,Single Cycle (5 seconds)
134,660642640,1,Multiple Cycles
135,357118729,1,Single Cycle (5 seconds)
136,130633428,1,Single Cycle (5 seconds)
137,380718317,1,Single Cycle (5 seconds)
138,326538369,1,Single Cycle (5 seconds)
139,355252065,1,Single Cycle (5 seconds)
140,828083683,1,Multiple Cycles
141,845173022,1,Extended Cycle (more than 5 seconds)
142,614597838,1,Single Cycle (5 seconds)
143,614597838,1,Extended Cycle (more than 5 seconds)
144,563609203,1,Single Cycle (5 seconds)
145,579609379,1,Single Cycle (5 seconds)
146,579609379,1,Extended Cycle (more than 5 seconds)
147,988246483,1,Single Cycle (5 seconds)
148,443690357,1,Single Cycle (5 seconds)
149,391444710,1,Single Cycle (5 seconds)
150,824421015,1,Single Cycle (5 seconds)
151,274264879,1,Single Cycle (5 seconds)
152,566229812,1,Single Cycle (5 seconds)
153,566229812,1,Extended Cycle (more than 5 seconds)
154,479624013,1,Extended Cycle (more than 5 seconds)
155,607397845,1,Single Cycle (5 seconds)
