BatchFileName,Indiv_Index,Weapon,Location
418729783,1,Aerosol,"Accessible (e.g., within reach)"
418729783,2,Aerosol,"Accessible (e.g., within reach)"
243682269,1,Handgun,"Accessible (e.g., within reach)"
527449862,1,Knife/Edged,"On Person, including concealed"
602367907,1,Handgun,"Accessible (e.g., within reach)"
931589034,1,Unknown Type of Weapon,"Accessible (e.g., within reach)"
865654144,1,Unknown Type of Weapon,"Accessible (e.g., within reach)"
119619030,1,Unknown Type of Weapon,"Accessible (e.g., within reach)"
313694372,1,Handgun,"On Person, including concealed"
313694372,2,Handgun,"On Person, including concealed"
788371579,1,Handgun,"On Person, including concealed"
788371579,2,Handgun,"On Person, including concealed"
939537346,1,Unknown Type of Weapon,"On Person, including concealed"
480628715,1,"Long Gun (rifle, shotgun)",In Hand
900010236,1,"Long Gun (rifle, shotgun)",In Hand
479925650,1,Knife/Edged,"Accessible (e.g., within reach)"
332167484,1,Unknown Type of Weapon,"Accessible (e.g., within reach)"
841279034,1,Handgun,"Accessible (e.g., within reach)"
841279034,2,Handgun,"Accessible (e.g., within reach)"
841279034,3,Handgun,"Accessible (e.g., within reach)"
654013802,1,Handgun,"Accessible (e.g., within reach)"
452438534,1,Knife/Edged,"Accessible (e.g., within reach)"
223442106,1,Knife/Edged,"Accessible (e.g., within reach)"
957496666,1,Knife/Edged,"Accessible (e.g., within reach)"
385578537,1,Knife/Edged,"Accessible (e.g., within reach)"
395893081,1,Handgun,"Accessible (e.g., within reach)"
382894102,1,Handgun,"Accessible (e.g., within reach)"
833327236,1,Handgun,"On Person, including concealed"
331720488,1,Club or Impact Weapon,In Hand
379238601,1,Club or Impact Weapon,In Hand
120522457,1,Knife/Edged,In Hand
791065783,1,Handgun,"On Person, including concealed"
791065783,2,Handgun,"On Person, including concealed"
791065783,3,Handgun,"On Person, including concealed"
430153830,1,Knife/Edged,"On Person, including concealed"
562050212,1,Vehicle,"Accessible (e.g., within reach)"
363335622,1,Knife/Edged,In Hand
363335622,2,Knife/Edged,In Hand
363335622,3,Knife/Edged,In Hand
941479912,1,Knife/Edged,"Accessible (e.g., within reach)"
941479912,2,Knife/Edged,"Accessible (e.g., within reach)"
984938583,1,Vehicle,"Accessible (e.g., within reach)"
984938583,1,Unknown Type of Weapon,"Accessible (e.g., within reach)"
809596119,1,Vehicle,"Accessible (e.g., within reach)"
809596119,1,Unknown Type of Weapon,"Accessible (e.g., within reach)"
710371766,1,Unknown Type of Weapon,"Accessible (e.g., within reach)"
958506732,1,Club or Impact Weapon,In Hand
805830934,1,Unknown Type of Weapon,"On Person, including concealed"
663518365,1,Knife/Edged,In Hand
747613386,1,Knife/Edged,In Hand
995812361,1,"Long Gun (rifle, shotgun)","Accessible (e.g., within reach)"
920746160,1,"Long Gun (rifle, shotgun)","Accessible (e.g., within reach)"
775999517,1,Knife/Edged,In Hand
735347592,1,Other,"Accessible (e.g., within reach)"
331176115,1,Club or Impact Weapon,In Hand
331176115,2,Club or Impact Weapon,In Hand
381724737,1,Knife/Edged,"On Person, including concealed"
381724737,2,Knife/Edged,"On Person, including concealed"
381724737,3,Knife/Edged,"On Person, including concealed"
381724737,4,Knife/Edged,"On Person, including concealed"
381724737,5,Knife/Edged,"On Person, including concealed"
902563975,1,Other,"On Person, including concealed"
861963736,1,Club or Impact Weapon,"Accessible (e.g., within reach)"
861963736,2,Club or Impact Weapon,"Accessible (e.g., within reach)"
992929339,1,Club or Impact Weapon,In Hand
992929339,2,Club or Impact Weapon,"Accessible (e.g., within reach)"
611996451,1,Knife/Edged,In Hand
362406152,1,Knife/Edged,In Hand
959332723,1,Knife/Edged,"Accessible (e.g., within reach)"
143208484,1,Knife/Edged,"Accessible (e.g., within reach)"
391941061,1,Unknown Type of Weapon,"Accessible (e.g., within reach)"
362713843,1,Knife/Edged,In Hand
704085253,1,Knife/Edged,In Hand
671111674,1,Canine,"On Person, including concealed"
563038016,1,Knife/Edged,"Accessible (e.g., within reach)"
794828260,1,Unknown Type of Weapon,"On Person, including concealed"
251139560,1,Unknown Type of Weapon,"On Person, including concealed"
368732492,1,Unknown Type of Weapon,In Hand
840677078,1,Knife/Edged,"On Person, including concealed"
639552540,1,Knife/Edged,"On Person, including concealed"
834954673,1,Handgun,"Accessible (e.g., within reach)"
834954673,2,Handgun,"Accessible (e.g., within reach)"
234459883,1,Handgun,"Accessible (e.g., within reach)"
494105812,1,Handgun,"On Person, including concealed"
371453600,1,Club or Impact Weapon,"Accessible (e.g., within reach)"
887848654,1,Club or Impact Weapon,"Accessible (e.g., within reach)"
922533146,1,Club or Impact Weapon,"Accessible (e.g., within reach)"
922533146,1,Knife/Edged,"Accessible (e.g., within reach)"
638580900,1,Unknown Type of Weapon,"On Person, including concealed"
822964887,1,Club or Impact Weapon,"Accessible (e.g., within reach)"
822964887,1,Vehicle,"Accessible (e.g., within reach)"
411909295,1,Vehicle,In Hand
411909295,1,Unknown Type of Weapon,"On Person, including concealed"
123922877,1,Vehicle,"Accessible (e.g., within reach)"
745404281,1,Knife/Edged,"Accessible (e.g., within reach)"
316847445,1,Knife/Edged,"On Person, including concealed"
767607788,1,Knife/Edged,"On Person, including concealed"
643028916,1,Knife/Edged,"Accessible (e.g., within reach)"
494184519,1,Knife/Edged,In Hand
304967180,1,Knife/Edged,"Accessible (e.g., within reach)"
224299225,1,Handgun,"Accessible (e.g., within reach)"
224299225,2,Handgun,"Accessible (e.g., within reach)"
224299225,3,Handgun,"Accessible (e.g., within reach)"
911203727,1,Handgun,"On Person, including concealed"
306140822,1,Handgun,"On Person, including concealed"
325538543,1,Knife/Edged,"On Person, including concealed"
852336661,1,Knife/Edged,"On Person, including concealed"
772571905,1,Club or Impact Weapon,"Accessible (e.g., within reach)"
772571905,1,Knife/Edged,"Accessible (e.g., within reach)"
772571905,1,Unknown Type of Weapon,"Accessible (e.g., within reach)"
182326561,1,Knife/Edged,In Hand
943527725,1,Unknown Type of Weapon,"On Person, including concealed"
943527725,2,Unknown Type of Weapon,"Accessible (e.g., within reach)"
210270454,1,Handgun,"Accessible (e.g., within reach)"
497113053,1,Knife/Edged,"Accessible (e.g., within reach)"
192114302,1,Club or Impact Weapon,In Hand
669542330,1,Club or Impact Weapon,In Hand
412110490,1,Knife/Edged,"On Person, including concealed"
540576274,1,Knife/Edged,In Hand
978486831,1,Handgun,"Accessible (e.g., within reach)"
978486831,2,Handgun,"Accessible (e.g., within reach)"
920861034,1,Handgun,"Accessible (e.g., within reach)"
920861034,2,Handgun,"Accessible (e.g., within reach)"
920861034,3,Handgun,"Accessible (e.g., within reach)"
920861034,4,Handgun,"Accessible (e.g., within reach)"
496210207,1,Knife/Edged,In Hand
832436567,1,Knife/Edged,In Hand
513762879,1,Handgun,"On Person, including concealed"
514428209,1,Handgun,"Accessible (e.g., within reach)"
911276473,1,Handgun,"Accessible (e.g., within reach)"
809628316,1,Knife/Edged,"Accessible (e.g., within reach)"
252652018,1,Other,"Accessible (e.g., within reach)"
863498299,1,Handgun,"Accessible (e.g., within reach)"
863498299,1,"Long Gun (rifle, shotgun)","Accessible (e.g., within reach)"
863498299,1,Knife/Edged,"Accessible (e.g., within reach)"
847381128,1,Handgun,"Accessible (e.g., within reach)"
761311843,1,Handgun,"On Person, including concealed"
761311843,2,Handgun,"On Person, including concealed"
761311843,3,Handgun,"On Person, including concealed"
816876988,1,Knife/Edged,In Hand
324002902,1,Knife/Edged,In Hand
114196611,1,Knife/Edged,"Accessible (e.g., within reach)"
524923705,1,Knife/Edged,"Accessible (e.g., within reach)"
375661794,1,Knife/Edged,"Accessible (e.g., within reach)"
483546035,1,Handgun,"On Person, including concealed"
198724058,1,Handgun,"Accessible (e.g., within reach)"
985646253,1,Handgun,"On Person, including concealed"
985646253,2,Handgun,"On Person, including concealed"
162316868,1,Handgun,"Accessible (e.g., within reach)"
162316868,2,Handgun,"Accessible (e.g., within reach)"
162316868,3,Handgun,"Accessible (e.g., within reach)"
162316868,4,Handgun,"Accessible (e.g., within reach)"
162316868,5,Handgun,"Accessible (e.g., within reach)"
162316868,6,Handgun,"Accessible (e.g., within reach)"
209455334,1,Handgun,"Accessible (e.g., within reach)"
209455334,1,Knife/Edged,"Accessible (e.g., within reach)"
482784923,1,Handgun,"Accessible (e.g., within reach)"
482784923,2,Handgun,"Accessible (e.g., within reach)"
482784923,3,Handgun,"Accessible (e.g., within reach)"
969854684,1,Knife/Edged,"On Person, including concealed"
725473020,1,Handgun,"Accessible (e.g., within reach)"
725473020,1,Knife/Edged,"Accessible (e.g., within reach)"
304826218,1,Knife/Edged,"On Person, including concealed"
507957704,1,Knife/Edged,"On Person, including concealed"
621261841,1,Knife/Edged,In Hand
635698103,1,Knife/Edged,In Hand
758476798,1,Club or Impact Weapon,"On Person, including concealed"
758476798,1,Knife/Edged,"On Person, including concealed"
183278821,1,Knife/Edged,"Accessible (e.g., within reach)"
360863960,1,Handgun,"Accessible (e.g., within reach)"
455734447,1,Unknown Type of Weapon,"Accessible (e.g., within reach)"
455734447,2,Unknown Type of Weapon,"Accessible (e.g., within reach)"
141708611,1,Knife/Edged,"Accessible (e.g., within reach)"
483085536,1,Knife/Edged,In Hand
639553755,1,Knife/Edged,"Accessible (e.g., within reach)"
659390337,1,Club or Impact Weapon,"Accessible (e.g., within reach)"
659390337,1,Handgun,"Accessible (e.g., within reach)"
659390337,1,"Long Gun (rifle, shotgun)","Accessible (e.g., within reach)"
659390337,1,Unknown Type of Weapon,"Accessible (e.g., within reach)"
659390337,2,Club or Impact Weapon,"Accessible (e.g., within reach)"
659390337,2,Handgun,"Accessible (e.g., within reach)"
659390337,2,"Long Gun (rifle, shotgun)","Accessible (e.g., within reach)"
659390337,2,Unknown Type of Weapon,"Accessible (e.g., within reach)"
425076466,1,Club or Impact Weapon,"Accessible (e.g., within reach)"
425076466,1,Handgun,"On Person, including concealed"
425076466,2,Club or Impact Weapon,"Accessible (e.g., within reach)"
425076466,2,Handgun,"On Person, including concealed"
495710133,1,Club or Impact Weapon,"Accessible (e.g., within reach)"
495710133,1,Handgun,"Accessible (e.g., within reach)"
495710133,1,Other,"Accessible (e.g., within reach)"
495710133,2,Club or Impact Weapon,"Accessible (e.g., within reach)"
495710133,2,Handgun,"Accessible (e.g., within reach)"
840133921,1,Handgun,"On Person, including concealed"
521535376,1,Club or Impact Weapon,"Accessible (e.g., within reach)"
521535376,1,Handgun,"Accessible (e.g., within reach)"
521535376,1,"Long Gun (rifle, shotgun)","Accessible (e.g., within reach)"
521535376,1,Unknown Type of Weapon,"Accessible (e.g., within reach)"
521535376,2,Club or Impact Weapon,"Accessible (e.g., within reach)"
521535376,2,Handgun,"Accessible (e.g., within reach)"
521535376,2,"Long Gun (rifle, shotgun)","Accessible (e.g., within reach)"
521535376,2,Unknown Type of Weapon,"Accessible (e.g., within reach)"
840821104,1,Unknown Type of Weapon,"Accessible (e.g., within reach)"
840821104,1,Other,"Accessible (e.g., within reach)"
840821104,2,Club or Impact Weapon,"Accessible (e.g., within reach)"
840821104,2,Handgun,"Accessible (e.g., within reach)"
840821104,2,Unknown Type of Weapon,"Accessible (e.g., within reach)"
884350180,1,Knife/Edged,"On Person, including concealed"
443294803,1,Knife/Edged,"On Person, including concealed"
380048060,1,Handgun,In Hand
664862093,1,Handgun,"Accessible (e.g., within reach)"
664862093,2,Handgun,"Accessible (e.g., within reach)"
664862093,3,Handgun,"Accessible (e.g., within reach)"
664862093,4,Handgun,"Accessible (e.g., within reach)"
312648090,1,Handgun,"Accessible (e.g., within reach)"
312648090,2,Handgun,"Accessible (e.g., within reach)"
312648090,3,Handgun,"Accessible (e.g., within reach)"
312648090,4,Handgun,"Accessible (e.g., within reach)"
175049101,1,Club or Impact Weapon,"Accessible (e.g., within reach)"
175049101,1,Handgun,"Accessible (e.g., within reach)"
175049101,1,"Long Gun (rifle, shotgun)","Accessible (e.g., within reach)"
175049101,1,Unknown Type of Weapon,"Accessible (e.g., within reach)"
175049101,2,Club or Impact Weapon,"Accessible (e.g., within reach)"
175049101,2,Handgun,"Accessible (e.g., within reach)"
175049101,2,"Long Gun (rifle, shotgun)","Accessible (e.g., within reach)"
175049101,2,Unknown Type of Weapon,"Accessible (e.g., within reach)"
573600572,1,Handgun,"Accessible (e.g., within reach)"
573600572,2,Handgun,"Accessible (e.g., within reach)"
573600572,3,Handgun,"Accessible (e.g., within reach)"
573600572,4,Handgun,"Accessible (e.g., within reach)"
996035759,1,Handgun,"On Person, including concealed"
996035759,1,"Long Gun (rifle, shotgun)","On Person, including concealed"
699810918,1,Handgun,In Hand
603923083,1,Handgun,"On Person, including concealed"
603923083,2,Handgun,"On Person, including concealed"
603923083,3,Handgun,"On Person, including concealed"
216715584,1,Handgun,"Accessible (e.g., within reach)"
216715584,1,Knife/Edged,In Hand
297980112,1,Handgun,"Accessible (e.g., within reach)"
297980112,1,Other,In Hand
297980112,2,Handgun,"Accessible (e.g., within reach)"
509346286,1,Knife/Edged,"Accessible (e.g., within reach)"
232093555,1,Knife/Edged,"Accessible (e.g., within reach)"
232093555,1,Unknown Type of Weapon,"Accessible (e.g., within reach)"
232093555,2,Unknown Type of Weapon,"Accessible (e.g., within reach)"
369313803,1,Knife/Edged,"Accessible (e.g., within reach)"
312151607,1,Unknown Type of Weapon,"On Person, including concealed"
475111630,1,Knife/Edged,In Hand
475111630,1,Other,In Hand
434126130,1,Knife/Edged,In Hand
434126130,1,Other,In Hand
550087882,1,Knife/Edged,In Hand
550087882,1,Other,In Hand
364847160,1,Handgun,"Accessible (e.g., within reach)"
163464918,1,Handgun,"On Person, including concealed"
163464918,2,Handgun,"On Person, including concealed"
848736586,1,Knife/Edged,In Hand
740168452,1,Handgun,"On Person, including concealed"
637658648,1,Handgun,"Accessible (e.g., within reach)"
930551544,1,Club or Impact Weapon,"On Person, including concealed"
930551544,1,Unknown Type of Weapon,"Accessible (e.g., within reach)"
326861788,1,Handgun,"Accessible (e.g., within reach)"
966655924,1,Handgun,"On Person, including concealed"
730739491,1,Knife/Edged,In Hand
812709272,1,Knife/Edged,In Hand
493317891,1,Knife/Edged,"Accessible (e.g., within reach)"
900206835,1,Handgun,In Hand
900206835,1,Knife/Edged,In Hand
735824077,1,Knife/Edged,"Accessible (e.g., within reach)"
990595961,1,Other,"On Person, including concealed"
857063522,1,Other,"Accessible (e.g., within reach)"
996981266,1,Knife/Edged,"Accessible (e.g., within reach)"
363542192,1,Knife/Edged,"Accessible (e.g., within reach)"
719134257,1,Knife/Edged,"Accessible (e.g., within reach)"
735098850,1,Handgun,"Accessible (e.g., within reach)"
879158858,1,Handgun,"On Person, including concealed"
969444484,1,Handgun,"On Person, including concealed"
409550446,1,Knife/Edged,"Accessible (e.g., within reach)"
936933115,1,Unknown Type of Weapon,"On Person, including concealed"
418095497,1,Knife/Edged,"Accessible (e.g., within reach)"
667729128,1,Other,"Accessible (e.g., within reach)"
296209332,1,Unknown Type of Weapon,"Accessible (e.g., within reach)"
296209332,2,Unknown Type of Weapon,"Accessible (e.g., within reach)"
617984562,1,Knife/Edged,"Accessible (e.g., within reach)"
783317166,1,Handgun,"Accessible (e.g., within reach)"
783317166,2,Handgun,"Accessible (e.g., within reach)"
117249278,1,Handgun,"Accessible (e.g., within reach)"
117249278,2,Handgun,"Accessible (e.g., within reach)"
605199897,1,Knife/Edged,"On Person, including concealed"
533632213,1,Other,In Hand
850586838,1,Handgun,"Accessible (e.g., within reach)"
941052568,1,Handgun,"Accessible (e.g., within reach)"
999326755,1,Handgun,"On Person, including concealed"
265090650,1,Knife/Edged,"Accessible (e.g., within reach)"
309942231,1,Knife/Edged,"Accessible (e.g., within reach)"
309942231,1,Other,"Accessible (e.g., within reach)"
876585000,1,"Long Gun (rifle, shotgun)","Accessible (e.g., within reach)"
876585000,1,Knife/Edged,"Accessible (e.g., within reach)"
921359080,1,Handgun,"On Person, including concealed"
699853826,1,Handgun,"On Person, including concealed"
699853826,1,"Long Gun (rifle, shotgun)","On Person, including concealed"
777465534,1,Handgun,"On Person, including concealed"
716529864,1,Handgun,"Accessible (e.g., within reach)"
944943390,1,"Long Gun (rifle, shotgun)","On Person, including concealed"
273627718,1,Handgun,"Accessible (e.g., within reach)"
475468401,1,Canine,"Accessible (e.g., within reach)"
475468401,1,Handgun,"Accessible (e.g., within reach)"
475468401,2,Canine,"Accessible (e.g., within reach)"
475468401,2,Handgun,"Accessible (e.g., within reach)"
289421291,1,Handgun,"Accessible (e.g., within reach)"
731458603,1,Handgun,"Accessible (e.g., within reach)"
233366820,1,Handgun,"Accessible (e.g., within reach)"
233366820,1,Vehicle,"Accessible (e.g., within reach)"
154387481,1,Handgun,"On Person, including concealed"
950219185,1,Handgun,"Accessible (e.g., within reach)"
176276145,1,Handgun,"Accessible (e.g., within reach)"
176276145,1,"Long Gun (rifle, shotgun)","Accessible (e.g., within reach)"
738828244,1,Unknown Type of Weapon,"On Person, including concealed"
280369748,1,Knife/Edged,"Accessible (e.g., within reach)"
823619899,1,"Long Gun (rifle, shotgun)","Accessible (e.g., within reach)"
499382305,1,Other,"Accessible (e.g., within reach)"
417564692,1,Knife/Edged,"On Person, including concealed"
755983239,1,Unknown Type of Weapon,"Accessible (e.g., within reach)"
522719429,1,Unknown Type of Weapon,In Hand
687857280,3,Handgun,"Accessible (e.g., within reach)"
437249211,1,Knife/Edged,"Accessible (e.g., within reach)"
528743756,1,Knife/Edged,"Accessible (e.g., within reach)"
105904171,1,Handgun,"Accessible (e.g., within reach)"
105904171,2,Handgun,"Accessible (e.g., within reach)"
400056148,1,Canine,In Hand
400056148,1,Handgun,"Accessible (e.g., within reach)"
435785379,1,Knife/Edged,In Hand
529616637,1,Other,In Hand
532369427,1,Knife/Edged,In Hand
563388622,1,Knife/Edged,In Hand
640377968,1,Handgun,"Accessible (e.g., within reach)"
466419743,3,Handgun,"Accessible (e.g., within reach)"
466419743,4,Handgun,"Accessible (e.g., within reach)"
401028498,1,Knife/Edged,"On Person, including concealed"
611218655,1,Knife/Edged,"On Person, including concealed"
237890821,1,Knife/Edged,"Accessible (e.g., within reach)"
574786605,1,Vehicle,In Hand
614861589,1,Handgun,"Accessible (e.g., within reach)"
614861589,1,Unknown Type of Weapon,"Accessible (e.g., within reach)"
955651626,1,Knife/Edged,"On Person, including concealed"
724915324,1,Knife/Edged,"On Person, including concealed"
